dt,city,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1738238400,Mombasa,1,320.43,0.33,3.13,56.51,4.41,6.31,13.37,1.36
1738242000,Mombasa,1,313.76,0.32,3.26,55.07,4.23,7.87,19.52,1.3
1738245600,Mombasa,2,313.76,0.25,3.73,52.21,4.17,8.71,23.8,1.38
1738249200,Mombasa,2,317.1,0.1,3.94,47.92,3.64,8.77,24.59,1.49
1738252800,Mombasa,2,330.45,0.01,3.21,45.42,2.38,9.03,25.58,1.88
1738256400,Mombasa,2,340.46,0.0,2.91,43.63,1.86,9.29,26.84,2.15
1738260000,Mombasa,2,343.8,0.0,2.78,42.92,1.82,9.19,27.05,2.03
1738263600,Mombasa,2,357.15,0.0,2.55,42.56,1.53,9.33,26.79,1.95
1738267200,Mombasa,2,363.83,0.0,2.44,41.84,1.21,9.38,26.57,1.8
1738270800,Mombasa,2,343.8,0.0,2.1,41.13,0.91,8.68,25.96,1.35
1738274400,Mombasa,2,337.12,0.0,1.93,40.05,0.77,8.52,25.97,1.23
1738278000,Mombasa,2,333.79,0.0,1.69,38.98,0.59,8.66,26.16,1.2
1738281600,Mombasa,2,330.45,0.0,1.5,37.91,0.46,8.74,26.12,1.19
1738285200,Mombasa,2,330.45,0.0,1.52,36.48,0.41,8.9,25.75,1.19
1738288800,Mombasa,2,330.45,0.0,1.61,34.69,0.4,9.18,25.41,1.2
1738292400,Mombasa,2,340.46,0.0,1.86,33.62,0.44,9.74,25.53,1.31
1738296000,Mombasa,2,383.85,0.0,2.91,32.19,0.69,11.61,27.93,1.9
1738299600,Mombasa,2,427.25,0.35,3.86,32.54,1.0,13.37,31.22,2.72
1738303200,Mombasa,2,440.6,0.66,3.64,44.35,1.55,14.13,33.57,3.32
1738306800,Mombasa,2,370.5,0.74,3.94,61.51,5.3,11.62,30.6,2.31
1738310400,Mombasa,2,347.14,0.57,3.26,71.53,5.9,10.58,28.85,1.93
1738314000,Mombasa,2,330.45,0.48,2.91,72.96,5.72,9.28,26.52,1.54
1738317600,Mombasa,2,310.42,0.39,2.21,65.8,4.47,7.46,21.3,1.09
1738321200,Mombasa,2,310.42,0.37,2.06,61.51,3.93,7.12,20.4,1.01
1738324800,Mombasa,1,307.08,0.37,1.93,55.79,3.22,6.73,19.41,0.91
1738328400,Mombasa,2,313.76,0.41,2.27,52.93,3.22,7.01,20.33,0.95
1738332000,Mombasa,2,323.77,0.41,2.63,48.64,3.1,7.4,21.54,1.06
1738335600,Mombasa,2,330.45,0.26,3.08,42.92,2.8,7.54,21.96,1.2
1738339200,Mombasa,2,343.8,0.02,3.04,39.34,2.35,8.12,23.45,1.41
1738342800,Mombasa,2,353.81,0.0,2.83,39.34,2.26,8.94,26.04,1.57
1738346400,Mombasa,2,360.49,0.0,2.78,40.05,2.32,9.4,27.95,1.52
1738350000,Mombasa,2,373.84,0.0,2.57,40.41,1.97,9.98,29.56,1.61
1738353600,Mombasa,2,390.53,0.0,2.53,40.41,1.55,10.61,31.31,1.68
1738357200,Mombasa,2,373.84,0.0,2.31,40.05,1.28,10.26,31.64,1.35
1738360800,Mombasa,2,363.83,0.0,2.21,38.62,1.15,10.14,31.39,1.25
1738364400,Mombasa,2,370.5,0.0,2.23,36.12,1.0,10.6,30.75,1.23
1738368000,Mombasa,2,380.52,0.0,2.33,33.26,0.88,11.22,28.62,1.25
1738371600,Mombasa,2,390.53,0.0,2.63,30.04,0.84,11.8,25.94,1.3
1738375200,Mombasa,2,387.19,0.0,2.72,28.25,0.88,11.54,25.26,1.27
1738378800,Mombasa,2,377.18,0.0,2.74,28.25,0.97,11.06,25.64,1.3
1738382400,Mombasa,2,400.54,0.0,3.56,28.61,1.39,11.96,28.37,1.82
1738386000,Mombasa,2,420.57,0.22,4.46,29.68,2.12,12.35,30.32,2.5
1738389600,Mombasa,2,387.19,0.52,4.67,37.55,3.87,10.75,29.02,2.53
1738393200,Mombasa,2,327.11,0.36,4.76,47.21,5.3,7.9,23.57,1.66
1738396800,Mombasa,2,310.42,0.21,4.24,51.5,4.89,6.9,21.0,1.49
1738400400,Mombasa,2,297.07,0.12,4.03,51.5,4.71,6.55,20.54,1.33
1738404000,Mombasa,1,283.72,0.08,2.91,50.07,3.28,5.57,16.26,1.01
1738407600,Mombasa,1,283.72,0.1,2.27,49.35,2.53,5.41,14.75,0.9
1738411200,Mombasa,1,280.38,0.1,1.95,50.07,2.18,5.55,14.95,0.79
1738414800,Mombasa,1,283.72,0.13,2.44,52.21,2.65,6.36,17.84,0.79
1738418400,Mombasa,2,287.06,0.08,2.78,52.93,2.68,7.41,20.88,0.81
1738422000,Mombasa,2,290.39,0.03,2.78,53.64,2.41,8.45,23.33,0.86
1738425600,Mombasa,2,293.73,0.01,2.46,56.51,2.09,10.22,27.79,1.03
1738429200,Mombasa,2,303.75,0.0,2.44,57.94,2.15,11.9,32.18,1.25
1738432800,Mombasa,2,310.42,0.0,2.55,57.94,2.38,12.6,34.8,1.35
1738436400,Mombasa,2,337.12,0.0,2.21,56.51,1.73,13.89,38.21,1.77
1738440000,Mombasa,2,353.81,0.0,2.01,53.64,1.03,15.03,41.43,1.88
1738443600,Mombasa,2,333.79,0.0,1.78,52.93,0.71,14.98,43.15,1.42
1738447200,Mombasa,2,323.77,0.0,1.69,51.5,0.6,15.53,44.64,1.3
1738450800,Mombasa,2,327.11,0.0,1.71,48.64,0.56,16.33,44.92,1.25
1738454400,Mombasa,2,327.11,0.0,1.78,45.78,0.52,16.94,44.32,1.2
1738458000,Mombasa,2,327.11,0.0,1.91,42.56,0.45,17.15,42.25,1.16
1738461600,Mombasa,2,333.79,0.0,2.14,39.34,0.42,17.77,41.14,1.3
1738465200,Mombasa,2,360.49,0.0,2.72,36.84,0.51,19.37,42.18,1.71
1738468800,Mombasa,2,467.3,0.0,4.97,34.33,1.01,24.76,48.8,2.91
1738472400,Mombasa,3,540.73,0.13,7.03,33.97,1.36,28.33,53.96,4.05
1738476000,Mombasa,3,494.0,0.36,6.0,42.56,1.55,26.43,54.21,4.75
1738479600,Mombasa,2,290.39,0.18,3.98,60.08,3.99,16.72,44.33,1.42
1738483200,Mombasa,2,270.37,0.13,3.47,60.8,3.76,15.29,41.82,1.17
1738486800,Mombasa,2,257.02,0.11,3.13,60.08,3.61,15.07,43.65,1.01
1738490400,Mombasa,2,247.0,0.14,2.4,60.8,2.95,13.67,40.01,0.8
1738494000,Mombasa,2,243.66,0.19,1.82,64.37,2.56,13.23,38.69,0.67
1738497600,Mombasa,2,240.33,0.2,1.48,67.95,2.21,13.7,39.82,0.52
1738501200,Mombasa,2,243.66,0.22,1.8,70.1,2.5,15.13,42.94,0.48
1738504800,Mombasa,2,250.34,0.15,2.33,69.38,2.56,17.0,48.01,0.5
1738508400,Mombasa,3,257.02,0.04,2.66,67.95,2.44,17.8,51.3,0.59
1738512000,Mombasa,3,260.35,0.0,2.46,67.95,2.21,18.97,56.56,0.74
1738515600,Mombasa,3,267.03,0.0,2.36,68.66,2.21,19.89,60.3,0.87
1738519200,Mombasa,3,270.37,0.0,2.31,70.1,2.26,20.46,62.3,0.88
1738522800,Mombasa,3,273.7,0.0,2.1,70.81,2.03,22.5,68.61,0.9
1738526400,Mombasa,3,270.37,0.0,1.88,70.1,1.7,24.92,76.69,0.85
1738530000,Mombasa,3,257.02,0.0,1.56,69.38,1.42,25.46,78.54,0.59
1738533600,Mombasa,3,270.37,0.0,1.61,67.23,1.18,25.94,76.83,0.87
1738537200,Mombasa,3,293.73,0.0,1.67,64.37,0.95,27.0,75.52,1.16
1738540800,Mombasa,3,313.76,0.0,1.82,60.8,0.84,27.99,74.75,1.35
1738544400,Mombasa,3,327.11,0.0,2.01,57.22,0.83,28.83,74.18,1.5
1738548000,Mombasa,3,327.11,0.0,2.08,54.36,0.77,28.76,73.04,1.46
1738551600,Mombasa,3,320.43,0.0,2.16,54.36,0.73,28.39,73.19,1.47
1738555200,Mombasa,3,350.48,0.0,2.96,54.36,0.98,29.52,76.65,2.22
1738558800,Mombasa,3,387.19,0.02,4.24,52.93,1.36,31.04,80.88,3.29
1738562400,Mombasa,3,377.18,0.11,4.58,55.79,2.21,30.4,81.43,3.51
1738566000,Mombasa,3,290.39,0.19,4.8,65.8,4.83,25.12,69.81,1.52
1738569600,Mombasa,3,277.04,0.27,3.64,71.53,4.23,21.88,58.46,1.17
1738573200,Mombasa,3,263.69,0.26,2.68,76.53,3.64,19.76,52.85,0.89
1738576800,Mombasa,2,260.35,0.22,2.1,76.53,3.01,16.99,44.1,0.67
1738580400,Mombasa,2,257.02,0.19,1.97,74.39,2.71,17.41,45.51,0.58
1738584000,Mombasa,3,253.68,0.16,1.95,72.24,2.44,19.19,51.82,0.44
1738587600,Mombasa,3,257.02,0.18,2.4,72.96,2.77,22.67,67.54,0.41
1738591200,Mombasa,3,263.69,0.13,2.74,72.24,2.71,24.15,75.44,0.44
1738594800,Mombasa,3,270.37,0.05,2.83,71.53,2.47,23.86,74.64,0.55
1738598400,Mombasa,3,273.7,0.01,2.61,70.81,2.21,24.09,74.04,0.7
1738602000,Mombasa,3,277.04,0.0,2.61,69.38,2.35,25.85,77.9,0.84
1738605600,Mombasa,3,277.04,0.0,2.7,68.66,2.59,28.29,85.77,0.82
1738609200,Mombasa,3,277.04,0.0,2.61,68.66,2.56,29.29,87.97,0.78
1738612800,Mombasa,3,273.7,0.0,2.46,70.1,2.41,27.66,82.01,0.63
1738616400,Mombasa,3,257.02,0.0,2.18,71.53,2.24,25.36,75.51,0.31
1738620000,Mombasa,3,263.69,0.0,1.54,71.53,1.45,24.76,72.56,0.53
1738623600,Mombasa,3,277.04,0.0,1.09,70.1,0.77,25.14,72.24,0.82
1738627200,Mombasa,3,287.06,0.0,1.09,68.66,0.63,25.7,72.95,1.01
1738630800,Mombasa,3,297.07,0.0,1.25,67.23,0.62,26.47,73.61,1.17
1738634400,Mombasa,3,300.41,0.0,1.39,65.09,0.62,26.82,72.85,1.17
1738638000,Mombasa,3,310.42,0.0,1.67,63.66,0.66,27.16,70.98,1.22
1738641600,Mombasa,3,347.14,0.0,2.7,62.23,0.92,28.35,70.47,1.8
1738645200,Mombasa,3,367.16,0.08,3.6,62.94,1.19,28.06,68.37,2.47
1738648800,Mombasa,3,347.14,0.2,3.51,66.52,1.74,24.98,57.9,2.41
1738652400,Mombasa,2,280.38,0.2,3.34,72.96,3.28,17.09,37.71,1.01
1738656000,Mombasa,2,270.37,0.14,2.91,73.67,3.07,12.92,28.23,0.83
1738659600,Mombasa,2,260.35,0.07,2.66,71.53,2.83,10.19,22.15,0.73
1738663200,Mombasa,2,257.02,0.05,2.42,70.1,2.62,7.92,17.2,0.65
1738666800,Mombasa,2,257.02,0.08,2.33,69.38,2.53,6.71,15.7,0.66
1738670400,Mombasa,2,257.02,0.09,2.23,68.66,2.44,6.15,16.93,0.65
1738674000,Mombasa,2,263.69,0.12,2.83,67.95,2.98,6.78,22.48,0.78
1738677600,Mombasa,2,270.37,0.1,3.04,67.23,2.92,7.82,30.88,0.84
1738681200,Mombasa,2,270.37,0.04,3.04,66.52,2.59,8.65,34.47,0.92
1738684800,Mombasa,2,270.37,0.0,2.74,67.23,2.26,9.53,37.55,1.06
1738688400,Mombasa,2,273.7,0.0,2.63,69.38,2.29,10.49,39.11,1.14
1738692000,Mombasa,2,273.7,0.0,2.59,70.81,2.38,10.75,40.16,1.11
1738695600,Mombasa,2,273.7,0.0,2.44,71.53,2.29,11.12,41.53,1.08
1738699200,Mombasa,2,267.03,0.0,2.29,71.53,2.15,11.48,42.24,0.9
1738702800,Mombasa,2,250.34,0.0,1.97,72.24,1.91,10.8,39.28,0.57
1738706400,Mombasa,2,250.34,0.0,1.71,72.24,1.71,9.72,34.44,0.55
1738710000,Mombasa,2,253.68,0.0,1.46,71.53,1.39,8.93,30.07,0.62
1738713600,Mombasa,2,257.02,0.0,1.37,70.1,1.19,8.43,27.1,0.69
1738717200,Mombasa,2,260.35,0.0,1.44,69.38,1.15,8.4,26.07,0.76
1738720800,Mombasa,2,267.03,0.0,1.56,68.66,1.21,8.61,25.67,0.82
1738724400,Mombasa,2,273.7,0.0,1.88,67.95,1.34,9.08,25.74,0.93
1738728000,Mombasa,2,300.41,0.0,2.7,66.52,1.68,10.04,26.35,1.44
1738731600,Mombasa,2,310.42,0.03,3.56,65.8,2.18,10.15,25.78,1.93
1738735200,Mombasa,2,300.41,0.18,3.68,66.52,2.77,9.05,22.95,1.98
1738738800,Mombasa,2,270.37,0.14,3.98,67.95,3.73,6.37,16.31,1.3
1738742400,Mombasa,2,263.69,0.12,3.6,66.52,3.43,5.96,15.15,1.22
1738746000,Mombasa,2,260.35,0.12,3.13,64.37,3.01,5.66,14.28,1.14
1738749600,Mombasa,2,253.68,0.14,2.59,63.66,2.59,5.25,13.14,0.97
1738753200,Mombasa,2,257.02,0.14,2.42,64.37,2.5,5.38,13.58,0.91
1738756800,Mombasa,2,253.68,0.15,2.16,67.23,2.35,6.05,15.89,0.78
1738760400,Mombasa,2,260.35,0.29,2.36,72.96,2.95,6.81,18.93,0.82
1738764000,Mombasa,2,263.69,0.24,2.78,69.38,2.89,7.4,22.01,0.85
1738767600,Mombasa,2,267.03,0.1,3.0,63.66,2.56,7.99,24.04,0.93
1738771200,Mombasa,2,270.37,0.01,2.83,60.8,2.26,8.74,25.43,1.12
1738774800,Mombasa,2,277.04,0.0,2.78,60.8,2.32,9.28,26.34,1.28
1738778400,Mombasa,2,283.72,0.0,2.83,60.08,2.47,9.14,26.09,1.3
1738782000,Mombasa,2,283.72,0.0,2.68,57.94,2.38,8.7,25.94,1.27
1738785600,Mombasa,2,277.04,0.0,2.48,56.51,2.21,7.91,25.49,1.08
1738789200,Mombasa,2,260.35,0.0,2.12,56.51,1.97,7.22,25.48,0.71
1738792800,Mombasa,2,260.35,0.0,1.56,56.51,1.39,7.46,26.46,0.74
1738796400,Mombasa,2,267.03,0.0,1.12,56.51,0.8,8.13,27.84,0.9
1738800000,Mombasa,2,273.7,0.0,1.04,56.51,0.63,8.7,28.91,1.03
1738803600,Mombasa,2,277.04,0.0,1.14,55.79,0.62,9.12,29.66,1.16
1738807200,Mombasa,2,277.04,0.0,1.29,55.79,0.72,9.18,29.57,1.17
1738810800,Mombasa,2,277.04,0.0,1.76,55.79,1.13,9.15,29.54,1.2
1738814400,Mombasa,2,283.72,0.0,3.3,56.51,2.68,9.17,28.87,1.35
1738818000,Mombasa,2,293.73,0.02,4.54,57.22,3.7,9.42,28.39,1.61
1738821600,Mombasa,2,290.39,0.14,5.14,57.94,4.59,9.45,27.46,1.65
1738825200,Mombasa,2,280.38,0.18,4.67,59.37,4.59,8.93,25.7,1.55
1738828800,Mombasa,2,270.37,0.21,3.9,61.51,4.05,7.91,21.82,1.41
1738832400,Mombasa,2,260.35,0.21,3.26,61.51,3.64,6.69,17.87,1.22
1738836000,Mombasa,2,253.68,0.19,2.83,61.51,3.22,5.46,13.76,1.04
1738839600,Mombasa,1,253.68,0.17,2.61,59.37,2.95,4.94,12.48,0.97
1738843200,Mombasa,1,250.34,0.16,2.42,57.94,2.71,5.05,13.43,0.86
1738846800,Mombasa,1,253.68,0.23,2.63,57.22,3.01,5.49,16.47,0.85
1738850400,Mombasa,1,257.02,0.22,2.91,52.93,2.95,5.82,19.79,0.88
1738854000,Mombasa,2,260.35,0.13,3.04,47.92,2.65,5.76,20.5,0.94
1738857600,Mombasa,2,267.03,0.01,2.87,46.49,2.29,5.77,20.08,1.11
1738861200,Mombasa,2,277.04,0.0,2.87,47.92,2.38,6.35,21.63,1.3
1738864800,Mombasa,2,280.38,0.0,2.91,48.64,2.56,7.03,23.61,1.35
1738868400,Mombasa,2,280.38,0.0,2.83,50.07,2.5,7.22,24.35,1.33
1738872000,Mombasa,2,273.7,0.0,2.61,50.78,2.35,6.78,23.21,1.14
1738875600,Mombasa,2,257.02,0.0,2.25,50.78,2.12,5.96,21.53,0.76
1738879200,Mombasa,2,257.02,0.0,1.99,50.78,1.97,5.84,21.0,0.73
1738882800,Mombasa,2,263.69,0.0,1.67,50.07,1.64,5.98,20.91,0.82
1738886400,Mombasa,2,267.03,0.0,1.48,50.07,1.4,6.19,21.03,0.91
1738890000,Mombasa,2,283.72,0.0,1.5,49.35,1.18,6.84,21.67,1.17
1738893600,Mombasa,2,307.08,0.0,1.69,47.21,0.94,7.83,22.62,1.39
1738897200,Mombasa,2,337.12,0.0,2.31,44.35,0.89,9.25,23.91,1.68
1738900800,Mombasa,2,433.92,0.0,4.46,40.41,1.33,13.45,28.02,2.75
1738904400,Mombasa,2,507.35,0.11,6.94,37.91,1.91,16.46,31.29,4.18
1738908000,Mombasa,2,473.98,0.42,6.94,43.27,3.34,14.68,28.78,4.56
1738911600,Mombasa,1,303.75,0.23,5.74,50.07,6.02,6.8,16.86,1.8
1738915200,Mombasa,1,290.39,0.11,4.88,50.07,5.3,5.28,13.73,1.54
1738918800,Mombasa,1,280.38,0.06,4.33,50.07,4.77,4.44,12.59,1.3
1738922400,Mombasa,1,277.04,0.06,3.81,48.64,4.17,3.65,10.87,1.09
1738926000,Mombasa,1,280.38,0.06,3.6,47.92,3.87,3.54,10.72,1.06
1738929600,Mombasa,1,277.04,0.09,3.21,45.78,3.37,3.71,11.3,0.96
1738933200,Mombasa,1,280.38,0.14,3.64,43.27,3.67,4.44,13.17,1.03
1738936800,Mombasa,1,283.72,0.16,3.86,41.48,3.64,5.29,15.56,1.08
1738940400,Mombasa,1,287.06,0.11,3.81,40.41,3.25,5.74,16.57,1.17
1738944000,Mombasa,1,290.39,0.03,3.43,39.34,2.71,6.05,17.14,1.39
1738947600,Mombasa,1,307.08,0.0,3.34,37.91,2.68,6.29,17.21,1.65
1738951200,Mombasa,1,327.11,0.0,3.38,37.19,2.8,6.14,16.09,1.77
1738954800,Mombasa,1,340.46,0.0,3.3,37.19,2.68,5.88,14.94,1.77
1738958400,Mombasa,1,330.45,0.0,3.13,37.19,2.53,5.27,13.94,1.49
1738962000,Mombasa,1,300.41,0.0,2.78,36.84,2.38,4.45,13.04,0.98
1738965600,Mombasa,1,300.41,0.0,2.4,35.76,1.82,4.61,13.04,0.97
1738969200,Mombasa,1,330.45,0.0,2.23,33.97,1.21,5.66,14.06,1.27
1738972800,Mombasa,1,367.16,0.0,2.44,32.54,1.04,7.02,15.7,1.69
1738976400,Mombasa,1,420.57,0.0,3.21,29.68,1.04,9.45,18.85,2.44
1738980000,Mombasa,2,487.33,0.0,4.41,25.75,1.1,13.02,23.07,3.26
1738983600,Mombasa,2,567.44,0.0,6.17,21.1,1.36,17.42,27.38,4.5
1738987200,Mombasa,3,747.68,0.09,10.28,14.84,2.18,26.99,37.64,6.4
1738990800,Mombasa,3,974.66,1.84,12.85,16.81,2.8,38.33,51.12,6.78
1738994400,Mombasa,3,1094.82,1.58,13.02,50.07,3.4,47.09,60.95,8.61
1738998000,Mombasa,1,403.88,0.74,6.94,59.37,9.66,8.37,15.55,2.09
1739001600,Mombasa,2,367.16,0.5,5.4,60.08,7.99,6.14,12.25,1.95
1739005200,Mombasa,1,353.81,0.36,4.97,58.65,6.91,5.39,11.56,1.85
1739008800,Mombasa,1,343.8,0.29,5.14,54.36,6.5,4.68,10.68,1.58
1739012400,Mombasa,1,333.79,0.25,4.8,47.21,5.54,3.99,9.97,1.39
1739016000,Mombasa,1,317.1,0.26,3.68,38.27,3.93,2.95,8.41,1.08
1739019600,Mombasa,1,310.42,0.37,2.87,37.91,3.22,2.56,8.24,0.99
1739023200,Mombasa,1,313.76,0.32,3.08,35.05,3.25,2.59,8.43,1.09
1739026800,Mombasa,1,320.43,0.21,3.43,30.76,3.07,2.65,8.11,1.22
1739030400,Mombasa,1,330.45,0.03,3.3,27.54,2.47,3.03,8.38,1.55
1739034000,Mombasa,1,350.48,0.0,3.13,26.11,2.12,3.86,9.31,2.03
1739037600,Mombasa,1,367.16,0.0,3.21,25.39,2.09,4.58,10.09,2.18
1739041200,Mombasa,1,387.19,0.0,2.96,25.03,1.65,5.41,11.04,2.28
1739044800,Mombasa,1,393.87,0.0,2.51,24.68,1.03,5.56,11.11,2.12
1739048400,Mombasa,1,360.49,0.0,1.91,24.32,0.62,4.26,9.42,1.47
1739052000,Mombasa,1,357.15,0.0,1.78,23.6,0.51,4.26,9.4,1.38
1739055600,Mombasa,1,380.52,0.0,2.01,22.35,0.56,5.54,11.16,1.69
1739059200,Mombasa,1,407.22,0.0,2.25,21.28,0.62,7.01,13.3,2.03
1739062800,Mombasa,1,447.27,0.0,2.68,19.31,0.69,9.11,16.38,2.47
1739066400,Mombasa,2,507.35,0.01,3.43,16.09,0.76,12.34,20.68,2.82
1739070000,Mombasa,2,580.79,0.03,4.84,12.34,0.89,16.26,25.18,3.23
1739073600,Mombasa,3,787.73,0.35,9.0,7.06,1.65,27.0,36.67,4.5
1739077200,Mombasa,3,1054.76,2.12,12.68,5.32,2.47,40.42,51.92,5.76
1739080800,Mombasa,3,1188.28,1.77,14.91,21.46,3.04,48.68,61.37,8.11
1739084400,Mombasa,1,433.92,0.57,8.4,40.77,8.7,8.73,16.1,2.01
1739088000,Mombasa,1,397.21,0.31,6.17,42.92,7.39,6.47,13.54,2.03
1739091600,Mombasa,1,360.49,0.24,4.54,41.13,5.54,4.84,12.43,1.79
1739095200,Mombasa,1,320.43,0.22,3.6,40.77,4.29,3.32,10.39,1.3
1739098800,Mombasa,1,303.75,0.2,3.17,38.98,3.58,2.7,9.5,1.09
1739102400,Mombasa,1,300.41,0.17,2.83,36.12,3.01,2.37,8.56,0.94
1739106000,Mombasa,1,303.75,0.19,2.91,31.11,2.95,2.42,8.19,0.91
1739109600,Mombasa,1,313.76,0.2,3.34,26.11,3.13,2.77,8.57,1.03
1739113200,Mombasa,1,323.77,0.13,3.6,23.25,3.04,3.04,8.47,1.17
1739116800,Mombasa,1,330.45,0.03,3.43,20.92,2.74,3.38,8.44,1.39
1739120400,Mombasa,1,333.79,0.01,3.38,19.85,2.68,3.72,8.45,1.63
1739124000,Mombasa,1,337.12,0.01,3.47,19.85,2.83,3.93,8.46,1.73
1739127600,Mombasa,1,370.5,0.0,3.0,20.56,2.0,5.19,10.07,2.37
1739131200,Mombasa,1,393.87,0.0,2.46,21.46,1.04,6.14,11.3,2.63
1739134800,Mombasa,1,367.16,0.0,1.86,22.35,0.6,4.93,9.84,1.87
1739138400,Mombasa,1,380.52,0.0,2.08,21.64,0.58,5.56,10.9,1.98
1739142000,Mombasa,1,433.92,0.0,2.63,20.03,0.72,7.99,14.36,2.44
1739145600,Mombasa,2,473.98,0.01,3.04,18.42,0.82,10.34,17.79,2.75
1739149200,Mombasa,2,514.03,0.01,3.47,16.45,0.95,12.47,20.85,3.2
1739152800,Mombasa,2,554.08,0.01,4.03,14.66,1.12,14.42,23.35,4.18
1739156400,Mombasa,2,627.52,0.03,5.44,12.87,1.58,18.06,27.3,6.52
1739160000,Mombasa,3,881.2,0.27,10.37,9.12,3.07,30.74,40.83,10.89
1739163600,Mombasa,3,1188.28,2.37,14.57,10.37,3.93,46.68,59.81,9.63
1739167200,Mombasa,3,1201.63,2.07,14.22,41.48,4.71,49.14,62.94,7.41
1739170800,Mombasa,2,600.81,0.92,9.0,77.25,11.09,16.77,25.86,3.36
1739174400,Mombasa,2,514.03,0.61,7.45,87.98,11.56,13.42,21.3,3.23
1739178000,Mombasa,2,433.92,0.51,6.51,72.24,9.89,9.16,15.65,2.63
1739181600,Mombasa,1,360.49,0.39,5.65,50.07,7.27,5.17,9.52,1.74
1739185200,Mombasa,1,340.46,0.34,5.4,35.05,5.78,3.84,7.88,1.54
1739188800,Mombasa,1,323.77,0.22,4.67,25.75,4.23,3.07,7.07,1.28
1739192400,Mombasa,1,317.1,0.15,4.37,21.28,3.7,2.9,7.4,1.19
1739196000,Mombasa,1,317.1,0.17,4.63,19.67,3.87,3.09,7.92,1.27
1739199600,Mombasa,1,320.43,0.13,4.84,18.78,3.87,3.26,8.01,1.39
1739203200,Mombasa,1,327.11,0.05,4.63,18.24,3.61,3.52,8.17,1.61
1739206800,Mombasa,1,340.46,0.03,4.71,17.88,3.7,3.94,8.57,1.77
1739210400,Mombasa,1,350.48,0.02,4.67,17.7,3.78,4.31,9.13,1.73
1739214000,Mombasa,1,360.49,0.02,4.07,17.88,3.19,4.84,10.16,1.68
1739217600,Mombasa,1,370.5,0.01,3.51,18.06,2.53,5.07,10.81,1.55
1739221200,Mombasa,1,357.15,0.01,2.87,18.42,2.03,4.37,10.26,1.09
1739224800,Mombasa,1,350.48,0.0,2.53,18.42,1.85,4.19,9.97,0.98
1739228400,Mombasa,1,353.81,0.0,2.16,18.6,1.71,4.25,9.93,1.01
1739232000,Mombasa,1,363.83,0.0,1.88,18.78,1.53,4.32,10.13,1.06
1739235600,Mombasa,1,377.18,0.0,1.74,18.6,1.33,4.63,10.98,1.2
1739239200,Mombasa,1,393.87,0.0,1.52,18.78,0.94,5.07,11.91,1.35
1739242800,Mombasa,1,413.89,0.01,1.67,18.78,0.75,5.75,12.89,1.54
1739246400,Mombasa,1,467.3,0.02,2.83,18.42,0.98,7.97,15.25,2.22
1739250000,Mombasa,1,500.68,0.27,3.9,19.13,1.31,9.27,16.64,2.94
1739253600,Mombasa,1,467.3,0.61,3.64,27.18,2.15,8.49,15.8,3.13
1739257200,Mombasa,1,367.16,0.82,3.6,38.27,4.65,5.33,11.68,1.66
1739260800,Mombasa,1,327.11,0.6,2.72,46.49,4.17,4.62,11.03,1.33
1739264400,Mombasa,1,293.73,0.5,2.14,50.07,3.73,4.13,10.93,1.06
1739268000,Mombasa,1,273.7,0.41,1.74,52.21,3.1,3.56,9.96,0.85
1739271600,Mombasa,1,270.37,0.39,1.71,55.07,2.98,3.66,10.5,0.85
1739275200,Mombasa,1,270.37,0.39,1.76,54.36,2.83,3.77,11.5,0.81
1739278800,Mombasa,1,273.7,0.49,2.21,54.36,3.37,4.33,14.14,0.89
1739282400,Mombasa,1,283.72,0.54,2.61,52.93,3.46,4.88,16.97,0.99
1739286000,Mombasa,1,290.39,0.39,3.04,49.35,3.13,5.05,18.0,1.09
1739289600,Mombasa,1,293.73,0.04,3.17,47.21,2.71,4.89,17.24,1.27
1739293200,Mombasa,1,300.41,0.0,3.08,47.21,2.71,4.7,16.09,1.46
1739296800,Mombasa,1,300.41,0.0,3.04,45.78,2.83,4.5,15.29,1.49
1739300400,Mombasa,1,303.75,0.0,2.78,42.92,2.47,4.48,14.98,1.55
1739304000,Mombasa,1,307.08,0.0,2.44,39.7,2.0,4.29,14.44,1.47
1739307600,Mombasa,1,293.73,0.0,1.95,39.34,1.55,3.6,13.27,1.06
1739311200,Mombasa,1,293.73,0.0,1.69,40.77,1.39,3.51,12.82,0.95
1739314800,Mombasa,1,293.73,0.0,1.48,42.2,1.25,3.66,12.85,0.94
1739318400,Mombasa,1,297.07,0.0,1.36,43.27,1.13,3.82,12.59,0.96
1739322000,Mombasa,1,303.75,0.0,1.34,43.99,1.04,4.06,12.39,1.03
1739325600,Mombasa,1,310.42,0.0,1.37,43.99,0.89,4.49,12.42,1.12
1739329200,Mombasa,1,327.11,0.0,1.65,43.27,0.86,5.25,12.9,1.3
1739332800,Mombasa,1,373.84,0.0,2.78,42.2,1.13,7.28,14.93,1.96
1739336400,Mombasa,1,403.88,0.14,3.77,42.2,1.62,8.59,16.04,2.6
1739340000,Mombasa,1,393.87,0.31,3.98,46.49,2.56,8.79,15.71,2.63
1739343600,Mombasa,1,343.8,0.35,3.86,51.5,3.93,7.33,12.11,1.46
1739347200,Mombasa,1,337.12,0.31,3.17,54.36,3.61,7.08,10.89,1.17
